big_hexagon_id,thirtymins,harmful,not_harmful,median,mean,max,min,sum,count
80.0,2019-05-16 13:00:00,0.0,1.0,3.0,3.274725274725274,5.0,2.0,298.0,91.0
81.0,2019-05-16 13:00:00,0.0,1.0,3.0,3.2592592592592586,5.0,1.0,264.0,81.0
82.0,2019-05-16 13:00:00,0.0,1.0,4.0,3.488888888888889,5.0,1.0,314.0,90.0
83.0,2019-05-16 13:00:00,0.0,1.0,3.0,3.138888888888889,5.0,2.0,339.0,108.0
84.0,2017-07-18 10:30:00,0.0,1.0,9.78,9.791555555555554,11.19,8.57,440.62,45.0
84.0,2017-07-18 11:00:00,0.0,0.0,12.52,12.963191489361703,16.81,12.08,1218.54,94.0
84.0,2017-07-18 11:00:00,0.0,1.0,10.15,10.043690758293833,12.0,6.88,16953.74999999998,1688.0
84.0,2017-07-18 11:30:00,0.0,0.0,13.42,13.575776914539409,17.76,12.08,24463.55000000001,1802.0
84.0,2017-07-18 11:30:00,0.0,1.0,10.07,9.948050822122466,12.0,5.72,33276.229999999654,3345.0
84.0,2017-07-18 12:00:00,0.0,0.0,12.67,12.936774193548386,15.98,12.08,2406.24,186.0
84.0,2017-07-18 12:00:00,0.0,1.0,9.25,9.281797966963072,12.0,5.42,43828.64999999963,4722.0
84.0,2017-07-18 12:30:00,0.0,0.0,12.23,12.23,12.23,12.23,12.23,1.0
84.0,2017-07-18 12:30:00,0.0,1.0,9.25,9.12710256410258,12.0,5.42,3559.5700000000056,390.0
84.0,2019-05-16 13:00:00,0.0,1.0,4.0,3.6292682926829265,6.0,2.0,744.0,205.0
84.0,2019-10-19 15:00:00,0.0,1.0,2.0,2.0776699029126213,4.0,0.0,642.0,309.0
84.0,2019-10-19 21:00:00,0.0,0.0,21.0,19.52659574468085,26.0,13.0,3671.0,188.0
84.0,2019-10-19 21:00:00,0.0,1.0,10.0,10.306666666666667,12.0,8.0,773.0,75.0
85.0,2017-07-18 11:30:00,0.0,0.0,14.48,14.538434622467749,17.85,12.08,7894.369999999986,543.0
85.0,2017-07-18 11:30:00,0.0,1.0,9.55,9.4550265017668,12.0,4.73,10703.090000000018,1132.0
85.0,2017-07-18 12:00:00,0.0,0.0,13.42,13.828887317303193,22.9,12.08,29331.07000000007,2121.0
85.0,2017-07-18 12:00:00,0.0,1.0,9.1,9.201621621621543,12.0,4.65,29960.479999999752,3256.0
85.0,2017-07-18 12:30:00,0.0,0.0,13.19,13.869736842105269,20.1,12.08,2108.2000000000007,152.0
85.0,2017-07-18 12:30:00,0.0,1.0,7.5,7.218999999999896,12.0,2.38,36383.759999999485,5040.0
85.0,2019-05-14 17:30:00,0.0,1.0,1.0,0.75,2.0,0.0,15.0,20.0
85.0,2019-05-15 05:30:00,0.0,1.0,4.0,4.12,5.0,3.0,103.0,25.0
85.0,2019-05-16 13:00:00,0.0,1.0,4.0,3.8457142857142856,6.0,2.0,673.0,175.0
85.0,2019-07-02 17:30:00,0.0,0.0,14.0,13.777777777777779,15.0,13.0,1240.0,90.0
85.0,2019-07-02 17:30:00,0.0,1.0,12.0,11.55,12.0,10.0,924.0,80.0
85.0,2019-07-03 18:30:00,0.0,1.0,5.0,4.983870967741935,6.0,3.0,309.0,62.0
85.0,2019-07-03 20:30:00,0.0,1.0,8.0,7.483870967741934,9.0,6.0,232.0,31.0
85.0,2019-09-25 16:00:00,0.0,1.0,0.5,0.5,1.0,0.0,1.0,2.0
85.0,2019-09-25 16:30:00,0.0,1.0,0.0,0.1875,1.0,0.0,9.0,48.0
85.0,2019-10-17 18:30:00,0.0,1.0,10.0,10.241758241758241,11.0,9.0,932.0,91.0
85.0,2019-10-19 15:00:00,0.0,1.0,3.0,2.7541528239202657,5.0,0.0,829.0,301.0
85.0,2019-10-19 21:00:00,0.0,0.0,16.0,16.392156862745097,23.0,13.0,1672.0,102.0
85.0,2019-10-19 21:00:00,0.0,1.0,9.0,9.248322147651006,12.0,6.0,1378.0,149.0
85.0,2019-12-29 13:00:00,0.0,1.0,2.0,2.159090909090909,6.0,1.0,190.0,88.0
85.0,2020-04-03 10:00:00,0.0,0.0,14.0,14.169811320754715,16.0,13.0,751.0,53.0
85.0,2020-04-03 10:00:00,0.0,1.0,12.0,12.0,12.0,12.0,48.0,4.0
85.0,2020-04-03 13:00:00,0.0,0.0,16.0,16.182758620689654,21.0,13.0,9386.0,580.0
85.0,2020-04-03 13:30:00,0.0,0.0,14.0,14.446406052963429,20.0,13.0,11456.0,793.0
85.0,2020-04-03 13:30:00,0.0,1.0,12.0,11.587378640776699,12.0,10.0,2387.0,206.0
85.0,2020-04-03 14:00:00,0.0,0.0,13.0,13.333333333333336,14.0,13.0,880.0,66.0
85.0,2020-04-03 14:00:00,0.0,1.0,11.0,10.707983193277313,12.0,8.0,5097.0,476.0
85.0,2020-04-04 16:00:00,0.0,1.0,3.0,2.9611650485436893,5.0,1.0,305.0,103.0
85.0,2020-04-04 19:00:00,0.0,1.0,2.0,2.0,3.0,0.0,128.0,64.0
85.0,2020-05-21 12:30:00,0.0,1.0,3.0,3.333333333333333,4.0,2.0,270.0,81.0
85.0,2020-05-22 13:00:00,0.0,1.0,10.0,10.333333333333334,11.0,10.0,62.0,6.0
85.0,2020-05-22 13:30:00,0.0,0.0,13.0,13.452830188679245,15.0,13.0,713.0,53.0
85.0,2020-05-22 13:30:00,0.0,1.0,10.0,10.45017182130584,12.0,8.0,3041.0,291.0
85.0,2020-05-22 16:30:00,0.0,1.0,6.0,6.225352112676057,8.0,5.0,442.0,71.0
85.0,2020-05-31 13:00:00,0.0,0.0,13.0,13.4,14.0,13.0,67.0,5.0
85.0,2020-05-31 13:00:00,0.0,1.0,0.0,0.6719665271966527,12.0,0.0,803.0,1195.0
85.0,2020-05-31 13:30:00,0.0,1.0,0.0,0.3116438356164384,5.0,0.0,455.0,1460.0
85.0,2020-06-16 12:30:00,0.0,1.0,10.0,9.7,11.0,8.0,582.0,60.0
85.0,2020-06-21 15:00:00,0.0,1.0,4.0,4.42560553633218,6.0,2.0,1279.0,289.0
85.0,2020-06-21 17:00:00,0.0,1.0,6.0,5.823321554770317,8.0,4.0,1648.0,283.0
85.0,2020-06-21 17:30:00,0.0,0.0,14.0,14.142857142857142,16.0,13.0,792.0,56.0
85.0,2020-06-21 17:30:00,0.0,1.0,11.0,11.220338983050848,12.0,10.0,662.0,59.0
85.0,2020-06-21 22:00:00,0.0,0.0,24.0,23.387096774193548,25.0,20.0,1450.0,62.0
85.0,2020-06-25 15:30:00,0.0,1.0,5.0,4.552631578947368,6.0,3.0,519.0,114.0
85.0,2020-06-25 16:00:00,0.0,0.0,20.0,21.33333333333333,29.0,13.0,576.0,27.0
85.0,2020-06-25 16:00:00,0.0,1.0,4.0,4.377896613190732,10.0,2.0,2456.0,561.0
85.0,2020-06-28 14:30:00,0.0,0.0,13.0,13.0,13.0,13.0,52.0,4.0
85.0,2020-06-28 14:30:00,0.0,1.0,11.0,10.692307692307693,12.0,10.0,556.0,52.0
86.0,2017-07-18 11:30:00,0.0,0.0,15.26,16.340282112845124,34.56,12.08,27222.90999999997,1666.0
86.0,2017-07-18 11:30:00,0.0,1.0,10.3,9.77699421965318,12.0,5.03,10148.520000000002,1038.0
86.0,2017-07-18 11:30:00,1.0,0.0,45.405,46.08666666666666,57.08,35.65,553.04,12.0
86.0,2019-05-14 17:30:00,0.0,1.0,2.0,1.675,3.0,0.0,67.0,40.0
86.0,2019-05-15 05:30:00,0.0,1.0,4.0,3.546666666666667,5.0,2.0,532.0,150.0
86.0,2019-06-27 19:00:00,0.0,1.0,1.0,1.4903846153846154,6.0,0.0,155.0,104.0
86.0,2019-06-28 08:30:00,0.0,1.0,6.0,6.4959349593495945,8.0,6.0,799.0,123.0
86.0,2019-06-28 17:30:00,0.0,1.0,6.0,6.684563758389262,10.0,2.0,996.0,149.0
86.0,2019-06-29 11:00:00,0.0,0.0,20.0,20.16923076923077,25.0,16.0,2622.0,130.0
